CustomerID,Region,Province,City,EnrollmentDate,CancelDate,ProductType,PlanName,Price,SalesChannel,Source,UtilityProvider,ContractDurationMonths,Usage,UsageUnit,SupportTickets,PricePerUnit,EstimatedMonthlyBill
CUST00030,Ontario ,Ontario,Toronto,06/09/2021,,Home Services,Basic,38.5,Phone, facebook,Enbridge,12,,N/A,0,,
CUST00031, alberta,Alberta,Edmonton,21/12/2023,,Electricity,Premium,143.32,in person,TV,E.P.C.O.R,12,1015.87,kWh,1,0.12,121.9
CUST00032,ontario,Ontario,Hamilton,19/10/2022,,Electricity,Flex,84.01, phone,N/A,enbridge gas,6,765.4,kWh,1,0.12,91.85
CUST00033,ontario,Ontario,Hamilton,13/06/2022,,Electricity,Flex,62.13,in person,N/A,Enbridge,18,906.33,kWh,2,0.12,108.76
CUST00034,saskatchewan,Saskatchewan,Moose Jaw,08/03/2022,,Natural Gas,Standard,110.16,Online,TV,SaskPower,18,126.41,GJ,1,3.5,442.44
CUST00035,saskatchewan,Saskatchewan,Saskatoon,30/08/2021,,Home Services,premium ,26.94,in person,Facebook,sask power,6,,N/A,2,,
CUST00036,british columbia,British Columbia,Kelowna,01/12/2021,,Home Services,Standrad,24.2, online, facebook,bc hydro,6,,N/A,1,,
CUST00037,ONTARIO,Ontario,Mississauga,07/06/2022,,Natural Gas,Premium,55.35, Email,TV,enbridge gas,18,98.93,GJ,2,3.5,346.25
CUST00038,ONTARIO,Ontario,Hamilton,08/06/2021,,Electricity,basic,99.79,in person,,ENBRIDGE,12,631.2,kWh,1,0.12,75.74
CUST00039,ALBERTA,Alberta,Calgary,25/05/2021,,Home Services,Flex,60.37,in person,tv,EPCOR,12,,N/A,1,,
CUST00040,quebec,Quebec,Montreal,14/08/2022,,Electricity,Standrad,139.75,in person,N/A,hydro quebec,24,1072.4,kWh,1,0.12,128.69
CUST00041,ontario,Ontario,Hamilton,31/05/2021,,Electricity,Flex,75.83,,,hydro one,6,406.1,kWh,2,0.12,48.73
CUST00042,quebec,Quebec,Quebec City,12/07/2022,27/01/2024,Natural Gas,premium ,74.14,,,hydro quebec,12,119.7,GJ,2,3.5,418.95
CUST00043,Ontario ,Ontario,Hamilton,27/07/2023,,Natural Gas,basic,90.14,Online,,enbridge gas,6,175.98,GJ,0,3.5,615.93
CUST00044,nova scotia,Nova Scotia,Dartmouth,15/02/2022,,Natural Gas,Premium,58.5,In-person,tv,Nova Scotia Power,6,183.95,GJ,1,3.5,643.82
CUST00045,Ontario ,Ontario,Hamilton,09/03/2021,,Natural Gas,Standrad,112.39,Phone,N/A,hydro one,24,112.37,GJ,0,3.5,393.3
CUST00046,ALBERTA,Alberta,Calgary,15/12/2022,,Natural Gas,premium ,103.99,in person,,E.P.C.O.R,12,178.02,GJ,4,3.5,623.07
CUST00047,Ontario ,Ontario,Mississauga,14/04/2023,18/08/2023,Natural Gas,Premium,107.24,In-person,Google Ads,enbridge gas,24,100.42,GJ,1,3.5,351.47
CUST00048,quebec,Quebec,Montreal,12/08/2022,,Home Services,Basic,35.61, online,tv,Hydro Quebec,24,,N/A,2,,
CUST00049, QUEBEC,Quebec,Laval,03/05/2021,,Natural Gas,Standard,77.62,,Google Ads,hydro quebec,18,192.68,GJ,1,3.5,674.38
CUST00050,ONTARIO,Ontario,Ottawa,08/05/2023,,Electricity,Flex,135.53,In-person,tv,Hydro One,12,1116.93,kWh,0,0.12,134.03
CUST00051,SASKATCHEWAN,Saskatchewan,Prince Albert,01/04/2022,,Electricity,Premium,114.53, phone,TV,sask power,18,639.76,kWh,0,0.12,76.77
CUST00052,B.C.,British Columbia,Vancouver,04/09/2023,,Electricity,Flex,66.84,in person,Referral,fortis bc,18,1033.38,kWh,4,0.12,124.01
CUST00053,NOVA SCOTIA,Nova Scotia,Halifax,19/08/2023,,Electricity,premium ,118.28,Phone,N/A,Nova Scotia Power,24,871.22,kWh,0,0.12,104.55
CUST00054,Nova Scotia ,Nova Scotia,Halifax,16/07/2022,,Natural Gas,Premium,98.7,Online,,nsp,24,174.31,GJ,1,3.5,610.09
CUST00055, alberta,Alberta,Lethbridge,16/06/2023,,Home Services,Green,72.9,in person,,EPCOR,24,,N/A,2,,
CUST00056,nova scotia,Nova Scotia,Dartmouth,26/10/2021,,Natural Gas,Green,67.23,Online,Google Ads,nsp,12,77.28,GJ,0,3.5,270.48
CUST00057,ontario,Ontario,Toronto,31/12/2023,,Home Services,basic,58.75,EMAIL,,Hydro-One,6,,N/A,0,,
CUST00058,Ontario ,Ontario,Toronto,19/04/2021,,Electricity,premium ,107.78, Email, facebook,ENBRIDGE,18,667.64,kWh,3,0.12,80.12
CUST00059,Ontario ,Ontario,Hamilton,13/03/2021,,Natural Gas,Standard,99.43,In-person,tv,hydro one,12,68.1,GJ,1,3.5,238.35
CUST00060,Ontario ,Ontario,Hamilton,25/10/2023,,Home Services,Flex,37.77, online,TV,Enbridge,18,,N/A,0,,
CUST00061,Quebec,Quebec,Montreal,21/12/2021,14/04/2023,Home Services,premium ,37.53,In-person,,Hydro Quebec,6,,N/A,2,,
CUST00062,ONTARIO,Ontario,Toronto,04/05/2021,,Natural Gas,Green,115.29,EMAIL,Referral,Hydro One,6,116.07,GJ,2,3.5,406.25
CUST00063,manitoba,Manitoba,Thompson,28/12/2021,,Electricity,Green,67.67,in person,Referral,Manitoba Hydro,24,1155.1,kWh,3,0.12,138.61
CUST00064,Quebec,Quebec,Quebec City,06/06/2021,,Natural Gas,Basic,88.77, phone,tv,hydro quebec,12,116.41,GJ,0,3.5,407.44
CUST00065,ONTARIO,Ontario,Mississauga,14/08/2022,,Electricity,Basic,96.77,EMAIL,Facebook,Hydro One,6,591.19,kWh,0,0.12,70.94
CUST00066, QUEBEC,Quebec,Quebec City,08/03/2022,,Home Services,Flex,75.43,in person,N/A,Hydro Quebec,6,,N/A,0,,
CUST00067,ONTARIO,Ontario,Ottawa,06/12/2022,,Electricity,Premium,131.34,Online,,Hydro One,6,1309.29,kWh,2,0.12,157.11
CUST00068,B.C.,British Columbia,Kelowna,15/09/2023,,Natural Gas,Standard,87.84, Email, facebook,fortis bc,18,191.4,GJ,1,3.5,669.9
CUST00069,ontario,Ontario,Toronto,21/07/2022,,Electricity,Green,111.86,In-person,,Hydro-One,24,1319.55,kWh,1,0.12,158.35
CUST00070,saskatchewan,Saskatchewan,Moose Jaw,10/09/2021,,Home Services,basic,40.88, online, facebook,SaskPower,6,,N/A,1,,
CUST00071,British Columbia ,British Columbia,Victoria,30/07/2022,,Natural Gas,Basic,76.39, online,Facebook,Fortis,18,93.23,GJ,1,3.5,326.31
CUST00072,Ontario ,Ontario,Toronto,06/07/2022,,Home Services,premium ,47.72,Phone,tv,Hydro-One,18,,N/A,1,,
CUST00073,ONTARIO,Ontario,Hamilton,22/11/2021,,Natural Gas,basic,110.47,EMAIL,Referral,hydro one,6,80.53,GJ,0,3.5,281.86
CUST00074,B.C.,British Columbia,Victoria,08/11/2023,,Electricity,Flex,149.3, phone,,FortisBC,6,415.04,kWh,0,0.12,49.8
CUST00075,British Columbia ,British Columbia,Victoria,19/02/2022,,Home Services,basic,78.81,in person,,fortis bc,12,,N/A,1,,
CUST00076,british columbia,British Columbia,Kelowna,27/12/2023,,Home Services,Green,66.36, Email, facebook,BC Hydro,18,,N/A,3,,
CUST00077,British Columbia ,British Columbia,Vancouver,28/11/2023,,Home Services,basic,52.31, online, facebook,FortisBC,24,,N/A,0,,
CUST00078,Ontario ,Ontario,Hamilton,04/10/2023,,Electricity,Standrad,63.93,EMAIL,N/A,Enbridge,24,662.69,kWh,0,0.12,79.52
CUST00079, QUEBEC,Quebec,Quebec City,21/04/2021,23/12/2023,Electricity,basic,68.97,EMAIL,Google Ads,Hydro Quebec,12,1461.89,kWh,1,0.12,175.43
CUST00080,ONTARIO,Ontario,Hamilton,14/09/2023,23/02/2024,Electricity,Standrad,118.49, online,N/A,ENBRIDGE,18,1259.68,kWh,0,0.12,151.16
CUST00081, MANITOBA,Manitoba,Thompson,10/04/2023,,Electricity,Standard,99.06, phone,Referral,Manitoba Hydro,24,658.25,kWh,0,0.12,78.99
CUST00082, alberta,Alberta,Edmonton,16/01/2022,,Natural Gas,Prmium,69.99,In-person,tv,epcor,24,56.9,GJ,1,3.5,199.15
CUST00083,ontario,Ontario,Ottawa,11/09/2021,29/09/2023,Electricity,Premium,80.9,Online,,hydro one,18,1357.92,kWh,2,0.12,162.95
CUST00084,Ontario ,Ontario,Toronto,13/08/2022,,Natural Gas,Green,91.12, Email,Facebook,ENBRIDGE,24,73.7,GJ,0,3.5,257.95
CUST00085,ontario,Ontario,Mississauga,24/02/2022,,Natural Gas,Prmium,85.98,Online,Google Ads,enbridge gas,24,66,GJ,0,3.5,231
CUST00086,ontario,Ontario,Mississauga,22/09/2023,,Home Services,basic,69.97,Online,tv,Hydro-One,18,,N/A,5,,
CUST00087,B.C.,British Columbia,Victoria,06/12/2023,,Electricity,Standard,141.31,Phone,Facebook,BCH,24,1145.54,kWh,1,0.12,137.46
CUST00088, alberta,Alberta,Calgary,16/05/2023,,Natural Gas,Standrad,54.05,In-person, facebook,epcor,18,63.52,GJ,0,3.5,222.32
CUST00089,Nova Scotia ,Nova Scotia,Sydney,08/12/2021,,Natural Gas,basic,117.03,In-person,tv,Nova Scotia Power,24,94.27,GJ,0,3.5,329.94
CUST00090,quebec,Quebec,Laval,30/11/2023,03/05/2024,Natural Gas,Green,86.76, online,Referral,hydro quebec,12,130.49,GJ,3,3.5,456.72
CUST00091,ontario,Ontario,Hamilton,28/03/2021,,Home Services,Flex,58.86,EMAIL,Facebook,enbridge gas,24,,N/A,0,,
CUST00092,british columbia,British Columbia,Vancouver,22/12/2021,,Electricity,Standard,81.13,,TV,FortisBC,24,734.8,kWh,2,0.12,88.18
CUST00093,British Columbia ,British Columbia,Kelowna,19/02/2021,,Home Services,Premium,73.12, phone,,Fortis,24,,N/A,1,,
CUST00094,Alberta,Alberta,Red Deer,06/05/2022,,Home Services,Flex,71.33, phone, facebook,epcor,18,,N/A,1,,
CUST00095,British Columbia ,British Columbia,Vancouver,16/09/2022,,Natural Gas,Flex,91.34,Phone,Google Ads,FortisBC,18,68.32,GJ,1,3.5,239.12
CUST00096,quebec,Quebec,Quebec City,20/02/2022,,Home Services,Flex,68.78,in person, facebook,HQ,12,,N/A,2,,
CUST00097, QUEBEC,Quebec,Montreal,13/04/2021,,Electricity,Basic,71.86, online,tv,Hydro Quebec,18,994.24,kWh,1,0.12,119.31
CUST00098,quebec,Quebec,Montreal,24/11/2021,23/05/2024,Natural Gas,Standard,78.1, online,Referral,HQ,24,161.26,GJ,0,3.5,564.41
CUST00099,ONTARIO,Ontario,Ottawa,21/01/2024,,Electricity,Basic,65.47,EMAIL,N/A,ENBRIDGE,24,1399.63,kWh,2,0.12,167.96
CUST00100,Ontario ,Ontario,Toronto,04/05/2022,,Home Services,Prmium,56.5, phone,TV,Hydro One,18,,N/A,1,,
CUST00101,Ontario ,Ontario,Mississauga,27/11/2021,,Home Services,Standrad,25.95, phone,tv,enbridge gas,24,,N/A,1,,
CUST00102,Alberta,Alberta,Lethbridge,16/10/2023,,Natural Gas,Standard,65, online,Facebook,E.P.C.O.R,18,118.02,GJ,3,3.5,413.07
CUST00103,ONTARIO,Ontario,Ottawa,15/02/2023,18/01/2024,Natural Gas,Standard,99.57, online,TV,hydro one,6,174.77,GJ,2,3.5,611.7
CUST00104,Quebec,Quebec,Laval,26/09/2023,,Electricity,Basic,147.16,Online, facebook,HQ,6,1360.97,kWh,2,0.12,163.32
CUST00105,nova scotia,Nova Scotia,Sydney,14/12/2022,,Home Services,premium ,42.05,Online,tv,nsp,24,,N/A,4,,
CUST00106,ONTARIO,Ontario,Toronto,10/08/2021,,Home Services,Premium,36.4,Online, facebook,Enbridge,18,,N/A,3,,
CUST00107,quebec,Quebec,Montreal,16/02/2022,,Electricity,Basic,68.26,,tv,HQ,24,840.86,kWh,0,0.12,100.9
CUST00108,British Columbia ,British Columbia,Kelowna,05/08/2021,,Natural Gas,Standard,110.67,In-person,TV,Fortis,6,96.75,GJ,2,3.5,338.62
CUST00109,Ontario ,Ontario,Toronto,19/01/2022,,Natural Gas,Green,57.25,,Referral,ENBRIDGE,18,122.85,GJ,1,3.5,429.97
CUST00110,ontario,Ontario,Hamilton,23/05/2023,,Natural Gas,Flex,71.62,Phone,Google Ads,Enbridge,12,138.97,GJ,1,3.5,486.39
CUST00111,ontario,Ontario,Mississauga,18/04/2023,,Electricity,basic,127.23,In-person,TV,Hydro One,24,718.39,kWh,1,0.12,86.21
CUST00112,ONTARIO,Ontario,Ottawa,13/02/2022,,Home Services,Standrad,71.71,Phone,N/A,Enbridge,6,,N/A,3,,
CUST00113,nova scotia,Nova Scotia,Truro,28/06/2023,,Natural Gas,Standard,72.4, online,TV,nsp,24,136.01,GJ,0,3.5,476.03
CUST00114,british columbia,British Columbia,Surrey,28/10/2022,,Natural Gas,Standard,71.66,Online, facebook,Fortis,12,86.5,GJ,1,3.5,302.75
CUST00115,Alberta,Alberta,Red Deer,26/06/2023,,Electricity,Prmium,125.46,In-person,tv,epcor,6,525.43,kWh,4,0.12,63.05
CUST00116,manitoba,Manitoba,Brandon,13/09/2022,,Electricity,basic,101.76,EMAIL, facebook,Manitoba Hydro,18,568.16,kWh,1,0.12,68.18
CUST00117,British Columbia ,British Columbia,Victoria,17/07/2022,,Electricity,Basic,91.67, phone,Facebook,Fortis,24,1094.52,kWh,2,0.12,131.34
CUST00118,ontario,Ontario,Hamilton,07/12/2021,,Electricity,premium ,94.6,,Google Ads,Hydro-One,24,715.78,kWh,2,0.12,85.89
CUST00119,Nova Scotia ,Nova Scotia,Sydney,03/08/2021,,Home Services,basic,26.21, online,Referral,Nova Scotia Power,12,,N/A,1,,
CUST00120,quebec,Quebec,Montreal,03/03/2023,,Home Services,premium ,56.59, online, facebook,HQ,18,,N/A,1,,
CUST00121,British Columbia ,British Columbia,Kelowna,06/02/2023,,Natural Gas,Prmium,47.56, Email,Facebook,FortisBC,18,57.85,GJ,4,3.5,202.47
CUST00122,Nova Scotia ,Nova Scotia,Sydney,22/05/2021,,Electricity,Standrad,71.61, phone,Facebook,nsp,24,555.57,kWh,2,0.12,66.67
CUST00123,ontario,Ontario,Mississauga,15/03/2021,,Home Services,Standrad,50.51,Phone, facebook,Hydro-One,18,,N/A,2,,
CUST00124,ontario,Ontario,Ottawa,20/06/2021,,Natural Gas,Premium,46.17, phone,Google Ads,Hydro One,18,122.94,GJ,2,3.5,430.29
CUST00125,ONTARIO,Ontario,Ottawa,26/08/2021,,Natural Gas,basic,43.5, online,tv,Hydro-One,24,77.13,GJ,3,3.5,269.95
CUST00126,Quebec,Quebec,Laval,02/09/2023,,Natural Gas,Prmium,94.26,EMAIL,,Hydro Quebec,18,85.88,GJ,2,3.5,300.58
CUST00127,B.C.,British Columbia,Kelowna,06/09/2021,,Home Services,Premium,72.38,Phone,,BC Hydro,18,,N/A,1,,
CUST00128, MANITOBA,Manitoba,Winnipeg,24/11/2023,,Home Services,Premium,36.37,,TV,Manitoba Hydro,24,,N/A,2,,
CUST00129,ontario,Ontario,Toronto,18/10/2022,,Natural Gas,Standrad,80.16,in person,N/A,Enbridge,6,189.57,GJ,1,3.5,663.5
CUST00130,quebec,Quebec,Laval,16/07/2023,,Electricity,Premium,63.45,EMAIL,TV,Hydro Quebec,24,508.99,kWh,2,0.12,61.08
CUST00131,Quebec,Quebec,Gatineau,09/04/2021,,Electricity,premium ,144.62,,N/A,Hydro Quebec,6,420.9,kWh,2,0.12,50.51
CUST00132,ontario,Ontario,Mississauga,21/08/2022,04/05/2024,Natural Gas,Standard,106.94,EMAIL,Google Ads,Enbridge,12,85.77,GJ,2,3.5,300.19
CUST00133,Ontario ,Ontario,Ottawa,15/07/2023,11/08/2024,Natural Gas,Standard,81.88, online,Referral,Enbridge,6,102.92,GJ,2,3.5,360.22
CUST00134,Ontario ,Ontario,Hamilton,02/04/2023,,Electricity,Basic,92.14, phone, facebook,enbridge gas,12,1479.14,kWh,2,0.12,177.5
CUST00135,SASKATCHEWAN,Saskatchewan,Saskatoon,26/01/2022,,Home Services,Prmium,52.76,In-person,,SaskPower,24,,N/A,1,,
CUST00136,ontario,Ontario,Ottawa,10/05/2023,,Electricity,Flex,63.94,in person,Google Ads,hydro one,18,1437.97,kWh,0,0.12,172.56
CUST00137,Quebec,Quebec,Laval,18/01/2021,,Natural Gas,Flex,62.89,Phone, facebook,Hydro Quebec,18,131.45,GJ,2,3.5,460.07
CUST00138,British Columbia ,British Columbia,Vancouver,23/11/2023,,Natural Gas,Premium,79.7,EMAIL, facebook,fortis bc,18,161.5,GJ,0,3.5,565.25
CUST00139,Quebec,Quebec,Montreal,25/01/2024,08/04/2024,Natural Gas,Green,65.7, phone, facebook,HQ,18,140.37,GJ,0,3.5,491.3
CUST00140,Saskatchewan ,Saskatchewan,Moose Jaw,26/11/2023,,Home Services,basic,41.09,Phone, facebook,SPWR,24,,N/A,2,,
CUST00141,SASKATCHEWAN,Saskatchewan,Moose Jaw,15/04/2023,18/12/2024,Electricity,Premium,145.75,In-person,,SPWR,6,1101.26,kWh,1,0.12,132.15
CUST00142,ontario,Ontario,Ottawa,19/02/2022,,Electricity,Basic,114.46,EMAIL, facebook,enbridge gas,18,802.96,kWh,0,0.12,96.36
CUST00143,quebec,Quebec,Gatineau,23/09/2023,13/07/2024,Home Services,Prmium,58.97,in person,Referral,hydro quebec,6,,N/A,0,,
CUST00144,Ontario ,Ontario,Ottawa,23/06/2021,,Home Services,Green,62.24,in person,Facebook,hydro one,24,,N/A,1,,
CUST00145,ontario,Ontario,Ottawa,01/04/2022,,Electricity,Prmium,120.11, phone,Facebook,Enbridge,18,897.25,kWh,1,0.12,107.67
CUST00146,ONTARIO,Ontario,Ottawa,07/11/2022,,Home Services,premium ,33.45,in person,TV,hydro one,12,,N/A,3,,
CUST00147,Alberta,Alberta,Lethbridge,03/09/2021,,Natural Gas,Standard,45.26, Email,,E.P.C.O.R,24,105.34,GJ,2,3.5,368.69
CUST00148,Quebec,Quebec,Gatineau,06/12/2022,07/01/2023,Electricity,basic,121.21, online,TV,hydro quebec,12,748.73,kWh,1,0.12,89.85
CUST00149,Ontario ,Ontario,Ottawa,27/01/2024,,Home Services,premium ,29.18,In-person,TV,Hydro One,18,,N/A,1,,
CUST00150,Ontario ,Ontario,Ottawa,23/01/2024,,Home Services,Flex,58.1,,Facebook,hydro one,12,,N/A,4,,
CUST00151,NOVA SCOTIA,Nova Scotia,Dartmouth,14/02/2022,01/05/2024,Home Services,Premium,30.27, online,Google Ads,NS Power,6,,N/A,2,,
CUST00152,ontario,Ontario,Toronto,05/10/2021,,Home Services,Flex,66.02, Email,Google Ads,enbridge gas,24,,N/A,1,,
CUST00153,ONTARIO,Ontario,Mississauga,28/02/2023,,Natural Gas,basic,45.84,Phone,TV,ENBRIDGE,24,170.7,GJ,1,3.5,597.45
CUST00154, QUEBEC,Quebec,Gatineau,15/06/2021,,Natural Gas,Prmium,98.74, online,N/A,HQ,12,141,GJ,1,3.5,493.5
CUST00155,SASKATCHEWAN,Saskatchewan,Moose Jaw,30/08/2023,17/05/2024,Home Services,Standard,36.05,in person,TV,sask power,6,,N/A,0,,
CUST00156,Ontario ,Ontario,Toronto,20/09/2023,,Natural Gas,Prmium,55.19,In-person,,hydro one,24,112.72,GJ,3,3.5,394.52
CUST00157,ALBERTA,Alberta,Lethbridge,28/02/2023,15/07/2024,Natural Gas,Flex,86.67,Phone,Google Ads,EPCOR,18,191.78,GJ,2,3.5,671.23
CUST00158,B.C.,British Columbia,Kelowna,05/11/2021,,Home Services,Basic,70.83, Email,TV,Fortis,18,,N/A,0,,
CUST00159,Ontario ,Ontario,Mississauga,26/08/2021,28/04/2023,Natural Gas,premium ,63.09, Email,,hydro one,18,57.67,GJ,5,3.5,201.84
CUST00160,british columbia,British Columbia,Vancouver,08/09/2021,,Electricity,Prmium,127.95,in person,N/A,Fortis,6,1274.39,kWh,0,0.12,152.93
CUST00161,quebec,Quebec,Montreal,18/04/2023,,Electricity,premium ,72.58, online,TV,Hydro Quebec,24,1284.36,kWh,1,0.12,154.12
CUST00162, alberta,Alberta,Red Deer,04/04/2023,,Natural Gas,Green,77.99,Phone, facebook,E.P.C.O.R,18,126.46,GJ,3,3.5,442.61
CUST00163,ALBERTA,Alberta,Calgary,01/01/2021,,Home Services,basic,35.93,in person,Google Ads,E.P.C.O.R,24,,N/A,1,,
CUST00164,Quebec,Quebec,Quebec City,20/07/2023,,Home Services,Flex,21.89, phone,tv,Hydro Quebec,6,,N/A,2,,
CUST00165,Ontario ,Ontario,Hamilton,19/05/2022,,Natural Gas,basic,109.83,Phone,TV,enbridge gas,12,153.58,GJ,2,3.5,537.53
CUST00166, MANITOBA,Manitoba,Steinbach,30/01/2023,,Natural Gas,premium ,67.39, online,Facebook,MB Hydro,24,97.06,GJ,1,3.5,339.71
CUST00167,ontario,Ontario,Ottawa,31/01/2021,,Natural Gas,Flex,95.22,EMAIL, facebook,ENBRIDGE,24,83.73,GJ,3,3.5,293.06
CUST00168,ONTARIO,Ontario,Mississauga,23/06/2021,,Home Services,premium ,42.78, Email, facebook,Hydro-One,12,,N/A,1,,
CUST00169,ontario,Ontario,Mississauga,18/07/2022,,Natural Gas,Green,99.79,in person,tv,enbridge gas,18,61.85,GJ,2,3.5,216.47
CUST00170,Alberta,Alberta,Red Deer,23/04/2022,,Electricity,premium ,80.31,in person,Google Ads,EPCOR,6,1045.51,kWh,2,0.12,125.46
CUST00171,ALBERTA,Alberta,Lethbridge,07/01/2022,,Home Services,premium ,78.67,In-person,N/A,EPCOR,24,,N/A,2,,
CUST00172,ONTARIO,Ontario,Hamilton,31/03/2021,,Electricity,Basic,141.71, phone,tv,enbridge gas,6,715.97,kWh,0,0.12,85.92
CUST00173, QUEBEC,Quebec,Quebec City,10/01/2022,,Electricity,Premium,144.29,Online,Google Ads,hydro quebec,6,439.97,kWh,1,0.12,52.8
CUST00174,ONTARIO,Ontario,Mississauga,01/06/2023,31/08/2023,Home Services,basic,79.35,,,ENBRIDGE,12,,N/A,4,,
CUST00175,ALBERTA,Alberta,Lethbridge,14/05/2021,,Electricity,Green,124.67,Phone, facebook,E.P.C.O.R,18,763.75,kWh,0,0.12,91.65
CUST00176,ontario,Ontario,Ottawa,25/01/2023,,Home Services,premium ,39.68, Email,Referral,ENBRIDGE,12,,N/A,1,,
CUST00177,ALBERTA,Alberta,Edmonton,18/04/2021,,Natural Gas,basic,100.3, online,Facebook,EPCOR,6,51.02,GJ,0,3.5,178.57
CUST00178,Quebec,Quebec,Laval,08/04/2023,,Natural Gas,Green,52.78,,Facebook,hydro quebec,6,59.32,GJ,2,3.5,207.62
CUST00179,Nova Scotia ,Nova Scotia,Dartmouth,15/07/2021,,Home Services,Premium,47.3, online,N/A,nsp,24,,N/A,4,,
CUST00180,ontario,Ontario,Ottawa,19/07/2021,,Home Services,basic,51.69, online,Referral,Hydro-One,6,,N/A,3,,
CUST00181,ONTARIO,Ontario,Toronto,22/10/2023,,Home Services,Prmium,71.27,EMAIL,Referral,Hydro One,12,,N/A,0,,
